imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		27	50	0.0108	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		10	50	0.004	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		77	50	0.0308	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		13	50	0.0052	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	8		68	50	0.0272	8	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		27	50	0.0108	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		10	50	0.004	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		77	50	0.0308	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		13	50	0.0052	8	1	0	0	1534 x 1024	1	31-May-2017
testImage	8		68	50	0.0272	8	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		27	50	0.0108	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Manually Removed	21	50	0.0084	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	2	Manually Removed	16	50	0.0064	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	3	Manually Removed	27	50	0.0108	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	4	Automatically Found	10	50	0.004	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	5	Automatically Found	77	50	0.0308	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	2	3	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	2	3	0	1534 x 1024	1	31-May-2017
